,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
140,2021-11-04,NPNYY,Nippon Yusen Kabushiki Kaisha,13.78,-1.23,-8.19,11.634B,72.5689404934688
141,2021-11-04,NVAX,"Novavax, Inc.",179.41,-15.79,-8.09,13.363B,5.573825316314587
142,2021-11-04,KTOS,"Kratos Defense & Security Solutions, Inc.",21.44,-1.84,-7.9,2.658B,46.64179104477612
143,2021-11-04,NETTF,"NetEase, Inc.",20.25,-1.71,-7.78,67.943B,49.38271604938272
144,2021-11-04,ROKU,"Roku, Inc.",289.39,-24.27,-7.74,38.619B,3.455544421023532
145,2021-11-05,PTON,"Peloton Interactive, Inc.",55.64,-30.42,-35.35,17.598B,17.97268152408339
146,2021-11-05,ADGI,"Adagio Therapeutics, Inc.",20.04,-10.26,-33.86,2.288B,49.9001996007984
147,2021-11-05,MRVI,"Maravai LifeSciences Holdings, Inc.",35.0,-9.84,-21.94,4.6B,28.571428571428573
148,2021-11-05,BNTX,BioNTech SE,216.64,-57.3,-20.92,56.657B,4.615952732644018
149,2021-11-05,NKTR,Nektar Therapeutics,13.45,-3.2,-19.22,2.472B,74.34944237918216
150,2021-11-05,NKLA,Nikola Corporation,13.14,-2.3,-14.9,5.275B,76.10350076103501
151,2021-11-05,VIR,"Vir Biotechnology, Inc.",31.26,-5.42,-14.78,4.083B,31.98976327575176
152,2021-11-05,TDC,Teradata Corporation,48.84,-8.05,-14.15,5.328B,20.475020475020475
153,2021-11-05,ZLAB,Zai Lab Limited,88.49,-14.24,-13.86,8.502B,11.300711944852528
154,2021-11-05,CGNX,Cognex Corporation,78.96,-12.3,-13.48,13.953B,12.664640324214794
155,2021-11-05,ABCL,AbCellera Biologics Inc.,15.09,-2.28,-13.13,4.266B,66.26905235255136
156,2021-11-05,AMN,"AMN Healthcare Services, Inc.",97.74,-14.68,-13.06,4.619B,10.23122570083896
157,2021-11-05,APPN,Appian Corporation,90.73,-12.66,-12.24,6.175B,11.021712774165104
158,2021-11-05,SWCH,"Switch, Inc.",23.06,-3.16,-12.05,3.249B,43.36513443191674
159,2021-11-05,CGC,Canopy Growth Corporation,11.79,-1.47,-11.09,4.721B,84.81764206955047
160,2021-11-05,QDEL,Quidel Corporation,121.1,-15.04,-11.05,5.042B,8.257638315441785
161,2021-11-05,INRLF,Valneva SE,20.5,-2.5,-10.87,2.159B,48.78048780487805
162,2021-11-05,DBX,"Dropbox, Inc.",27.81,-3.2,-10.32,10.978B,35.958288385472855
163,2021-11-05,GBT,"Global Blood Therapeutics, Inc.",35.35,-4.02,-10.21,2.206B,28.28854314002829
164,2021-11-09,AMRS,"Amyris, Inc.",7.96,-5.02,-38.67,2.414B,125.6281407035176
165,2021-11-09,ARVL,Arrival,12.88,-4.91,-27.6,7.991B,77.63975155279503
166,2021-11-09,LFST,"LifeStance Health Group, Inc.",9.73,-3.1,-24.16,3.64B,102.7749229188078
167,2021-11-09,NVTA,Invitae Corporation,20.53,-5.74,-21.85,4.462B,48.70920603994155
168,2021-11-09,OSH,"Oak Street Health, Inc.",37.14,-9.75,-20.79,8.946B,26.925148088314486
169,2021-11-09,FRPT,"Freshpet, Inc.",125.95,-24.49,-16.28,5.461B,7.939658594680429
170,2021-11-09,SITM,SiTime Corporation,243.94,-47.4,-16.27,4.697B,4.099368697220628
171,2021-11-09,HAE,Haemonetics Corporation,60.2,-10.93,-15.37,3.072B,16.611295681063122
