Date,SNAP,DWAC,OBMP,TUYA,ROL,FOUR,SWI,MRTX,ZG,CHGG,BHG,Z,PLTK,LSPD,NVAX,PTON,LFST,OSH,CRON,SAVA,LMND,MARA,CERE,PSFE,OSCR,VRM,OTLY,INSD,FCFS,TGTX,STNE,VIPS,DNA,FFIE
2021-11-05,53.16999816894531,56.560001373291016,2.119999885559082,5.800000190734863,35.679447174072266,60.619998931884766,16.790000915527344,163.88999938964844,66.16999816894531,30.639999389648438,7.550000190734863,66.05000305175781,23.530000686645508,73.05000305175781,159.19000244140625,55.63999938964844,13.390000343322754,44.77000045776367,5.340000152587891,90.91000366210938,69.52999877929688,63.81999969482422,44.61000061035156,7.429999828338623,17.0,19.15999984741211,13.149999618530273,47.25,86.14891815185547,35.5099983215332,30.34000015258789,11.020000457763672,13.949999809265137,8.720000267028809
2021-11-08,54.900001525878906,59.849998474121094,1.9199999570846558,6.179999828338623,35.56999969482422,61.970001220703125,16.889999389648438,159.91000366210938,68.2300033569336,30.780000686645508,7.539999961853027,67.66999816894531,23.280000686645508,72.41000366210938,173.02000427246094,51.25,12.829999923706055,46.88999938964844,6.710000038146973,89.48999786376953,70.5,75.30000305175781,44.34000015258789,7.940000057220459,16.510000228881836,19.1299991607666,12.670000076293945,38.0,85.70048522949219,34.79999923706055,30.34000015258789,11.380000114440918,14.920000076293945,8.520000457763672
2021-11-09,54.81999969482422,57.29999923706055,1.7999999523162842,6.190000057220459,35.45000076293945,58.720001220703125,16.940000534057617,167.83999633789062,66.62000274658203,30.049999237060547,7.369999885559082,66.4000015258789,23.3799991607666,71.23999786376953,169.3000030517578,50.130001068115234,9.729999542236328,37.13999938964844,5.699999809265137,78.41000366210938,62.939998626708984,76.08999633789062,43.41999816894531,7.639999866485596,16.260000228881836,19.3799991607666,12.899999618530273,42.02000045776367,85.20223236083984,34.66999816894531,29.56999969482422,11.600000381469727,14.920000076293945,8.390000343322754
2021-11-10,52.880001068115234,58.29999923706055,1.7200000286102295,6.139999866485596,35.7599983215332,68.19000244140625,16.479999542236328,148.77000427246094,64.18000030517578,30.149999618530273,7.300000190734863,64.2699966430664,23.0,67.9000015258789,164.19000244140625,48.95000076293945,10.760000228881836,36.130001068115234,5.46999979019165,69.4000015258789,62.86000061035156,64.83999633789062,38.66999816894531,7.269999980926514,16.520000457763672,20.6200008392334,12.359999656677246,46.0,85.34174346923828,33.25,28.579999923706055,11.65999984741211,13.619999885559082,8.470000267028809
2021-11-11,53.290000915527344,58.08000183105469,1.5399999618530273,6.639999866485596,35.630001068115234,67.1500015258789,16.5,143.72000122070312,63.47999954223633,29.639999389648438,4.940000057220459,63.63999938964844,22.84000015258789,66.76000213623047,169.3800048828125,50.52000045776367,10.210000038146973,36.95000076293945,5.679999828338623,72.43000030517578,65.8499984741211,70.69000244140625,38.29999923706055,4.239999771118164,12.470000267028809,18.59000015258789,11.300000190734863,45.0,85.83999633789062,33.16999816894531,28.75,12.449999809265137,13.479999542236328,8.489999771118164
2021-11-12,53.70000076293945,59.18000030517578,1.590000033378601,6.659999847412109,35.9900016784668,68.4000015258789,16.719999313354492,142.25,63.939998626708984,29.420000076293945,4.739999771118164,63.95000076293945,22.760000228881836,69.58000183105469,169.88999938964844,49.220001220703125,10.34000015258789,38.52000045776367,6.260000228881836,68.80000305175781,63.959999084472656,75.91999816894531,39.34000015258789,4.5,12.180000305175781,18.59000015258789,11.819999694824219,35.0,78.63999938964844,31.780000686645508,30.209999084472656,12.90999984741211,12.899999618530273,8.5
2021-11-15,55.529998779296875,59.900001525878906,1.5199999809265137,6.25,35.880001068115234,70.91999816894531,16.700000762939453,140.7899932861328,63.599998474121094,29.309999465942383,4.579999923706055,63.540000915527344,21.770000457763672,69.38999938964844,172.4499969482422,47.4900016784668,10.59000015258789,39.849998474121094,5.940000057220459,60.5099983215332,62.13999938964844,55.400001525878906,38.779998779296875,4.510000228881836,12.170000076293945,19.989999771118164,9.359999656677246,31.0,73.48999786376953,27.049999237060547,31.309999465942383,12.890000343322754,12.970000267028809,9.109999656677246
2021-11-16,55.11000061035156,59.9900016784668,1.7999999523162842,6.349999904632568,36.040000915527344,72.62000274658203,16.489999771118164,141.83999633789062,62.720001220703125,29.690000534057617,4.800000190734863,62.79999923706055,21.479999542236328,68.7699966430664,170.49000549316406,54.849998474121094,10.15999984741211,40.599998474121094,5.809999942779541,61.689998626708984,61.81999969482422,55.369998931884766,38.18000030517578,4.429999828338623,11.930000305175781,19.770000457763672,10.180000305175781,23.780000686645508,70.38999938964844,26.639999389648438,31.65999984741211,12.579999923706055,14.0,8.829999923706055
2021-11-17,54.560001373291016,58.5,1.8799999952316284,5.650000095367432,35.959999084472656,66.0,16.450000762939453,138.5,60.119998931884766,28.600000381469727,4.429999828338623,60.279998779296875,20.850000381469727,67.56999969482422,183.99000549316406,51.130001068115234,9.369999885559082,39.54999923706055,5.550000190734863,47.06999969482422,57.869998931884766,50.95000076293945,37.13999938964844,4.309999942779541,11.6899995803833,18.469999313354492,9.4399995803833,25.600000381469727,69.87999725341797,27.18000030517578,20.700000762939453,12.229999542236328,13.59000015258789,8.4399995803833
2021-11-18,53.470001220703125,56.20000076293945,1.559999942779541,5.21999979019165,35.63999938964844,61.779998779296875,15.75,137.4499969482422,57.310001373291016,27.059999465942383,3.940000057220459,57.09000015258789,20.459999084472656,63.0,191.0500030517578,48.400001525878906,8.770000457763672,37.02000045776367,4.889999866485596,48.439998626708984,54.06999969482422,51.459999084472656,36.36000061035156,4.0,10.640000343322754,17.18000030517578,9.869999885559082,28.0,68.26000213623047,24.860000610351562,19.229999542236328,10.029999732971191,11.979999542236328,8.15999984741211
2021-11-19,51.31999969482422,51.209999084472656,1.5399999618530273,5.260000228881836,35.41999816894531,58.279998779296875,15.40999984741211,138.86000061035156,56.38999938964844,26.530000686645508,4.119999885559082,56.11000061035156,19.729999542236328,58.150001525878906,192.33999633789062,47.13999938964844,8.649999618530273,36.33000183105469,4.929999828338623,53.189998626708984,52.81999969482422,54.68000030517578,36.34000015258789,3.9000000953674316,10.300000190734863,16.6299991607666,10.050000190734863,25.25,68.18000030517578,24.40999984741211,19.1299991607666,10.039999961853027,13.449999809265137,7.880000114440918
2021-11-22,49.2599983215332,44.849998474121094,1.559999942779541,5.400000095367432,35.2400016784668,55.02000045776367,15.100000381469727,140.92999267578125,53.650001525878906,25.540000915527344,4.110000133514404,53.25,18.459999084472656,57.7400016784668,207.99000549316406,44.08000183105469,8.550000190734863,33.599998474121094,4.690000057220459,52.77000045776367,51.59000015258789,49.56999969482422,33.97999954223633,3.9800000190734863,10.25,16.610000610351562,9.199999809265137,28.299999237060547,67.66999816894531,23.75,17.010000228881836,10.149999618530273,13.489999771118164,7.170000076293945
2021-11-23,50.66999816894531,39.47999954223633,1.5,4.989999771118164,35.900001525878906,54.70000076293945,14.609999656677246,137.80999755859375,54.38999938964844,25.020000457763672,3.8299999237060547,54.34000015258789,18.18000030517578,53.310001373291016,200.7100067138672,42.970001220703125,8.329999923706055,32.369998931884766,4.679999828338623,52.56999969482422,49.95000076293945,52.119998931884766,32.66999816894531,3.880000114440918,9.649999618530273,15.770000457763672,9.520000457763672,24.610000610351562,66.73999786376953,24.510000228881836,17.530000686645508,9.649999618530273,12.100000381469727,6.570000171661377
2021-11-24,49.65999984741211,43.150001525878906,1.5199999809265137,5.389999866485596,36.0,56.54999923706055,14.869999885559082,141.1999969482422,56.11000061035156,25.25,4.019999980926514,56.4900016784668,18.389999389648438,55.310001373291016,200.07000732421875,43.91999816894531,8.319999694824219,32.959999084472656,4.809999942779541,58.04999923706055,52.630001068115234,52.38999938964844,33.619998931884766,3.940000057220459,10.15999984741211,15.710000038146973,9.8100004196167,24.610000610351562,66.44000244140625,25.40999984741211,17.06999969482422,10.3100004196167,12.0,6.349999904632568
2021-11-26,49.7599983215332,43.099998474121094,1.7999999523162842,5.289999961853027,35.459999084472656,54.11000061035156,14.960000038146973,136.75999450683594,55.06999969482422,24.989999771118164,3.7300000190734863,55.619998931884766,18.18000030517578,54.08000183105469,217.97000122070312,46.40999984741211,7.909999847412109,30.770000457763672,4.670000076293945,55.959999084472656,52.79999923706055,49.20000076293945,32.13999938964844,3.890000104904175,9.819999694824219,15.539999961853027,9.670000076293945,24.610000610351562,64.12000274658203,23.979999542236328,16.34000015258789,9.84000015258789,12.0600004196167,6.170000076293945
2021-11-29,48.849998474121094,42.7400016784668,1.3200000524520874,5.429999828338623,35.33000183105469,51.79999923706055,14.390000343322754,136.0,54.15999984741211,25.700000762939453,3.3399999141693115,54.2599983215332,17.979999542236328,53.40999984741211,193.9600067138672,44.38999938964844,8.260000228881836,30.670000076293945,4.460000038146973,54.619998931884766,51.31999969482422,51.38999938964844,31.290000915527344,3.7799999713897705,9.270000457763672,14.739999771118164,9.3100004196167,24.610000610351562,64.06999969482422,23.360000610351562,16.239999771118164,9.65999984741211,12.039999961853027,6.119999885559082
2021-11-30,47.61000061035156,41.38999938964844,1.3300000429153442,5.829999923706055,33.279998779296875,52.02000045776367,14.399999618530273,136.77000427246094,54.11000061035156,27.850000381469727,3.3299999237060547,54.27000045776367,17.200000762939453,50.4900016784668,208.6300048828125,44.0,7.940000057220459,30.950000762939453,4.53000020980835,53.4900016784668,49.45000076293945,51.06999969482422,31.190000534057617,3.630000114440918,9.0,13.829999923706055,8.949999809265137,24.610000610351562,63.84000015258789,15.199999809265137,15.600000381469727,9.770000457763672,11.869999885559082,6.150000095367432
2021-12-01,47.2599983215332,44.349998474121094,1.7999999523162842,5.96999979019165,31.940000534057617,49.220001220703125,13.850000381469727,132.0399932861328,52.380001068115234,27.440000534057617,3.359999895095825,53.0,16.440000534057617,46.880001068115234,192.64999389648438,42.25,7.900000095367432,30.100000381469727,4.210000038146973,48.790000915527344,45.04999923706055,50.790000915527344,30.15999984741211,3.440000057220459,8.600000381469727,13.300000190734863,8.399999618530273,24.610000610351562,62.84000015258789,15.6899995803833,15.0,9.5600004196167,11.390000343322754,6.579999923706055
