PERMNO,date,TICKER,DIVAMT,PRC,RET,sprtrn
14346,20141031,AGZD,0.05,49.65,-0.002008,0.023201
14346,20141128,AGZD,0.065,49.5299,-0.00111,0.024534
14346,20141231,AGZD,0.07653,49.34,-0.002289,-0.004189
14346,20150130,AGZD,0.06,48.83,-0.00912,-0.031041
14346,20150227,AGZD,0.06,49.23,0.00942,0.054893
14346,20150331,AGZD,0.06,49.06,-0.002234,-0.017396
14346,20150430,AGZD,0.065,48.9688,-0.000534,0.008521
14346,20150529,AGZD,0.065,48.831,-0.001487,0.010491
14346,20150630,AGZD,0.07,48.64,-0.002478,-0.021012
14346,20150731,AGZD,0.07,48.64,0.001439,0.019742
14346,20150831,AGZD,0.07,48.09,-0.009868,-0.062581
14346,20150930,AGZD,0.07,47.9799,-0.000834,-0.026443
14346,20151030,AGZD,0.07,48.0209,0.002313,0.082983
14346,20151130,AGZD,0.07,48.0601,0.002274,0.000505
14346,20151231,AGZD,0.07,48.1,0.002287,-0.01753
14346,20160129,AGZD,0.07,47.2395,-0.016435,-0.050735
14346,20160229,AGZD,0.07,47.12,-0.001048,-0.004128
14346,20160331,AGZD,0.07,-47.78,0.015492,0.065991
14346,20160429,AGZD,0.07,-47.935,0.004709,0.002699
14346,20160531,AGZD,0.07,-47.87,0.000104,0.015329
14346,20160630,AGZD,0.07,47.57,-0.004805,0.000906
14346,20160729,AGZD,0.07,47.69,0.003994,0.03561
14346,20160831,AGZD,0.07,47.9455,0.006825,-0.001219
14346,20160930,AGZD,0.07,47.7735,-0.002127,-0.001234
14346,20161031,AGZD,0.07,-47.885,0.003799,-0.019426
14346,20161130,AGZD,0.075,48.085,0.005743,0.034174
14346,20161230,AGZD,0.09652,48.28,0.006063,0.018201
14346,20170131,AGZD,0.08,48.13,-0.00145,0.017884
14346,20170228,AGZD,0.08,48.08,0.000623,0.037198
14346,20170331,AGZD,0.09,48.12,0.002704,-0.000389
14346,20170428,AGZD,0.095,47.99,-0.000727,0.009091
14346,20170531,AGZD,0.095,47.84,-0.001146,0.011576
14346,20170630,AGZD,0.095,47.9385,0.004045,0.004814
14346,20170731,AGZD,0.095,48.0228,0.00374,0.019349
14346,20170831,AGZD,0.095,-47.91,-0.000371,0.000546
14346,20170929,AGZD,0.0975,47.99,0.003705,0.019303
14346,20171031,AGZD,0.095,48.2092,0.006547,0.022188
14346,20171130,AGZD,0.095,48.0901,-0.0005,0.028083
14346,20171229,AGZD,0.12389,48.41,0.009228,0.009832
14346,20180131,AGZD,0.09,48.33,0.000207,0.056179
14346,20180228,AGZD,0.085,48.15,-0.001966,-0.038947
14346,20180329,AGZD,0.09,47.874,-0.003863,-0.026885
14346,20180430,AGZD,0.095,48.045,0.005556,0.002719
14346,20180531,AGZD,0.1,47.88,-0.001353,0.021608
14346,20180629,AGZD,0.1075,47.756,-0.000345,0.004842
14346,20180731,AGZD,0.1,47.97,0.006575,0.036022
14346,20180831,AGZD,0.105,47.9,0.00073,0.030263
14346,20180928,AGZD,0.11,48,0.004384,0.004294
14346,20181031,AGZD,0.11,47.5677,-0.006715,-0.069403
14346,20181130,AGZD,0.115,47.54,0.001835,0.017859
14346,20181231,AGZD,0.12903,47.26,-0.003176,-0.091777
14346,20190131,AGZD,0.11,47.47,0.006771,0.078684
14346,20190228,AGZD,0.11,47.6675,0.006478,0.029729
14346,20190329,AGZD,0.11,47.77,0.004458,0.017924
14346,20190430,AGZD,0.115,47.81,0.003245,0.039313
14346,20190531,AGZD,0.115,47.53,-0.003451,-0.065778
14346,20190628,AGZD,0.115,47.645,0.004839,0.06893
14346,20190731,AGZD,0.115,47.835,0.006401,0.013128
14346,20190830,AGZD,0.12,47.6933,-0.000454,-0.018092
14346,20190930,AGZD,0.12,47.8,0.004753,0.017181
14346,20191031,AGZD,0.115,47.73,0.000941,0.020432
14346,20191129,AGZD,0.111,47.95,0.006935,0.034047
14346,20191231,AGZD,0.1033,48.07,0.004657,0.02859
14347,20131129,,,,,0.028049
14347,20131231,HYND,0.025,24.99,C,0.023563
14347,20140131,HYND,0.075,-24.265,-0.02601,-0.035583
14347,20140228,HYND,0.055,-24.175,-0.001442,0.043117
14347,20140331,HYND,0.065,24.49,0.015719,0.006932
14347,20140430,HYND,0.065,-24.07,-0.014496,0.006201
14347,20140530,HYND,0.07,-23.9,-0.004155,0.02103
14347,20140630,HYND,0.09,-24.105,0.012343,0.019058
14347,20140731,HYND,0.09,-23.685,-0.01369,-0.01508
14347,20140829,HYND,0.09,23.35,-0.010344,0.037655
